random,cyclic,lipschitz,GS,GSL
5183907.45199,5229526.92195,4873140.58907,1624166.97173,1356497.40306
5183722.57531,5227068.78559,4806904.49394,1615948.92812,1345552.94913
5182464.14943,5220780.53379,4806706.0984,1603991.79775,1335433.90569
5175064.03232,5220449.00856,4741639.04646,1599675.95457,1325482.79038
5174390.66545,5220320.02354,4740165.70547,1597670.24965,1315365.52042
5158284.98949,5190985.45897,4739903.58641,1595613.38729,1305329.96921
5158160.30258,5140190.10432,4723690.35241,1583500.00307,1295534.69347
5157996.07573,5093787.02426,4723237.20425,1579836.98768,1286101.61615
5157990.58192,5074955.56653,4712123.47422,1572232.00385,1275763.76125
5157460.60953,5059165.91617,4710095.30202,1560174.25978,1265618.24437
5131348.966,5046752.86449,4699303.01088,1544904.38511,1254519.32852
5127599.00759,5041965.05361,4693740.88965,1537322.9924,1243443.44209
5127306.19851,5041749.25854,4693348.6096,1522586.42789,1233970.44571
5127236.27345,5020955.22224,4693276.49525,1514508.22739,1224297.20281
5075736.41726,5018696.42065,4691975.76969,1486727.94049,1215194.77214
5010911.82492,5018314.6239,4691975.18921,1476876.63555,1206045.59305
5000242.86255,5009523.1001,4691786.93118,1455192.96794,1197182.41274
4999967.52147,5007886.07572,4671074.59443,1447211.54261,1187510.23053
4986706.35078,5007485.92893,4668633.11979,1441785.61679,1177277.22453
4986253.12659,5005126.60552,4655542.48629,1433116.0405,1168011.97908
4967363.58296,4998541.75006,4580853.25221,1413013.9782,1157928.75872
4967132.02671,4995116.26904,4580712.17554,1410068.52724,1148423.41154
4961198.77096,4995063.02224,4579945.17529,1408223.93059,1140233.23136
4958233.15907,4995063.00074,4579420.96451,1401319.7631,1131541.8649
4957717.65539,4985682.33626,4561345.22062,1388775.12136,1123248.13593
4923973.28128,4985464.30846,4555217.41796,1380606.67552,1114212.19888
4923574.75595,4970296.74463,4551890.2471,1378545.57881,1105865.40678
4915210.50536,4970137.48653,4539667.26516,1361400.89302,1096815.61946
4915085.99217,4970022.51635,4538893.24038,1356867.93699,1088028.54149
4906937.32007,4963330.63215,4531888.53996,1338731.50617,1079512.73341
4906012.59674,4960778.75471,4531851.57687,1326625.54393,1070783.88966
